Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
253062 2002 TC70                    2002 TC70      Sq/Sr    E49  Sq/Sr    E49
251346 2007 SJ                      2007 SJ        S        D95  S,K      D95
250706 2005 RR6                     2005 RR6       S        H88  S        H88    
248818 2006 SZ217                   2006 SZ217     Sr/S     E51  Sr/S     B34,D81,E51
247517 2002 QY6                     2002 QY6       Sr       D81  Sr       D81
243566 1995 SA                      1995 SA        S        H88  S        H88    
242708 2005 UK1                     2005 UK1       S        H88  S        H88    
242187 2003 KR18                    2003 KR18      S        A45  S        A45
241662 2000 KO44                    2000 KO44      Sq       E51  Sa;Sq/Q  C93,D81,E51
238063 2003 EG                      2003 EG        V        692  V        692,A45 
237442 1999 TA10                    1999 TA10      S/Sr     E51  S/Sr     D81,E51
236716 2007 FV42                    2007 FV42      S/Sr     E51  S/Sr     E51
235756 2004 VC                      2004 VC        S/Sr     E51  Sr/S     B34,D81,E51
231937 2001 FO32                    2001 FO32      S/Sr     E51  S/Sr     E51
231134 2005 TU45                    2005 TU45      S/Sr     E51  S/Sr     E51
230111 2001 BE10                    2001 BE10      Scomp    E51  R;Scomp  A89,E51
229007 2003 XF11                    2003 XF11      S/Sr     E51  S/Sr     E51
220124 2002 TE66                    2002 TE66      Sq       D81  Sq/Q     D81
219071 1997 US9                     1997 US9       Q        E51  Q;S      539,664,540,D81,E51
218863 2006 WO127                   2006 WO127     Q        E51  Sq,Q     D81,E51
217807 2000 XK44                    2000 XK44      Scomp    E51  S;Q      A36,A37,A58,D81,E51
217796 2000 TO64                    2000 TO64      S/Sr     E51  Sq,Sk,Sr A37,A39,A58,D81,E51
217390 2005 CW25                    2005 CW25      T        A58  T        A58 
215188 2000 NM                      2000 NM        Sr       664  Sr       664    
214869 2007 PA8                     2007 PA8       Q        E76  Q/O,Xc,S E76,E75,E49,C81,D38,F82
214088 2004 JN13                    2004 JN13      Sq       D81  Sq       D81
208023 1999 AQ10                    1999 AQ10      S:       A58  S:       A58,664    
207970 1996 BZ3                     1996 BZ3       X        539  X        539,664 
207945 1991 JW                      1991 JW        Scomp    E51  Sq/Q     D81,E51
207398 2006 AS2                     2006 AS2       C        A58  C        A58
206910 2004 NL8                     2004 NL8       Q        E51  Q        E51
205744 2002 BK25                    2002 BK25      Sk       664  Sk       664    
203471 2002 AU4                     2002 AU4       C/Cg     E42  C/Cg     E42
203015 1999 YF3                     1999 YF3       Sq       539  Sq       539
200840 2001 XN254                   2001 XN254     S        E51  S        664,D81,E51
200754 2001 WA25                    2001 WA25      S        664  S        664 
198856 2005 LR3                     2005 LR3       Sq       D81  Sq/Q     D81
194386 2001 VG5                     2001 VG5       Sq       664  Sq       664    
194268 2001 UY4                     2001 UY4       X        664  X        664    
194126 2001 SG276                   2001 SG276     S        H88  S        H88    
194006 2001 SG10                    2001 SG10      X        666  X        666    
192563 1998 WZ6                     1998 WZ6       V        539  V        539,664,540
192559 1998 VO                      1998 VO        S        540  S        540
190491 2000 FJ10                    2000 FJ10      S        C67  S        C67
189552 2000 RL77                    2000 RL77      S/Sr     E51  Sq,Sr    614,A45,E51
189040 2000 MU1                     2000 MU1       S        664  S        664 
187026 2005 EK70                    2005 EK70      Sq       A58  Sq       A58
185851 2000 DP107                   2000 DP107     Sq       E51  Sq       E51
184266 2004 VW14                    2004 VW14      Sq/Q     E51  Q,Sq     D81,E51
175729 1998 BB10                    1998 BB10      Sq       539  Sq       539
175706 1996 FG3                     1996 FG3       C/Ch     D81  Xc;B;Ch  D16,B65,B34,A58,539,540,D81
174806 2003 XL                      2003 XL        D        H88  D        H88    
173689 2001 PK9                     2001 PK9       Sq       E51  Sq       E51
171839 2001 JM1                     2001 JM1       S        664  S        664
170903 2004 WS2                     2004 WS2       Q        F66  Q        F66
