Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
214088,"       2004 JN13","         NEA>Apollo",,,,,,,,,,0.3937,0.6301,-0.0991,0.5352,0.2295,0.1326,S,"pS","pU",1
455550,"        2004 JO2","         NEA>Apollo",,,,,,,,,,,0.6348,-0.0991,0.5357,,,S,"pS","pQ",3
,"       2004 PY27","           NEA>Amor",,,,,,,,,,0.3131,0.5932,-0.1885,0.4047,0.2801,0.0916,U,"pU","pV",1
450300,"       2004 QD14","           NEA>Aten",,,,,,,,,,0.48,0.5978,,,0.1178,,S,"  ","  ",5
318160,"        2004 QZ2","           NEA>Amor",,,,,,,,,,0.3832,1.2082,,,0.825,,S,"  ","  ",5
523605,"       2004 RX10","           NEA>Aten",,,,,,,,,,0.3514,,,,,,S,"  ","  ",5
235756,"         2004 VC","         NEA>Apollo",,,,,,,,,,0.1656,0.2292,,,-0.1754,,C,"  ","  ",5
177651,"       2004 XM14","         NEA>Apollo",,,,,,,,,,0.27,-0.033,,,-0.303,,C,"  ","  ",5
385580,"       2004 XO14","           NEA>Amor",,,,,,,,,,0.3479,0.5356,-0.0976,0.438,0.1877,0.0901,U,"pU","pC",1
230979,"       2005 AT42","           NEA>Amor",,,,,,,,,,0.3146,0.5316,0.0303,0.5619,0.217,0.2473,X,"pX","pU",1
175189,"      2005 EC224","           NEA>Amor",,,,,,,,,,0.3633,0.3936,0.1702,0.5638,0.0303,0.2005,U,"pU","pC",1
508997,"        2005 FL4","         NEA>Apollo",,,,,,,,,,0.4229,-0.1237,,,-0.5466,,S,"  ","  ",5
250620,"       2005 GE59","         NEA>Apollo",,,,,,,,,,0.4296,,,,,,S,"  ","  ",5
416804,"      2005 GP128","           NEA>Amor",,,,,,,,,,0.4329,,,,,,S,"  ","  ",5
368664,"       2005 JA22","           NEA>Amor",,,,,,,,,,0.5994,0.81,,,0.2106,,U,"  ","  ",5
,"       2005 LA37","           NEA>Amor",,,,,,,,,,0.7235,,,,,,U,"  ","  ",5
242643,"        2005 NZ6","         NEA>Apollo",,,,,,,,,,0.1621,0.2774,0.0801,0.3575,0.1153,0.1954,U,"pU","pC",1
405562,"        2005 OJ3","           NEA>Amor",,,,,,,,,,0.3584,,,,,,S,"  ","  ",5
242708,"        2005 UK1","         NEA>Apollo",,,,,,,,,,0.4781,0.5301,-0.1961,0.334,0.052,-0.1441,V,"pU","pV",1
190166,"      2005 UP156","           NEA>Amor",,,,,,,,,,0.4939,0.6746,,,0.1807,,S,"  ","  ",5
,"       2005 WF57","           NEA>Amor",,,,,,,,,,0.1695,,,,,,C,"  ","  ",5
377732,"        2005 XJ8","         NEA>Apollo",,,,,,,,,,0.4872,,,0.5512,,0.064,S,"  ","  ",5
526238,"       2005 YY36","           NEA>Amor",,,,,,,,,,0.3588,0.4926,-0.0036,0.5059,0.1304,0.143,X,"pU","pX",1
,"       2006 KZ86","         NEA>Apollo",,,,,,,,,,0.2233,,,,,,C,"  ","  ",5
,"        2006 OS9","         NEA>Apollo",,,,,,,,,,0.158,,,,,,C,"  ","  ",5
292165,"        2006 SC6","         NEA>Apollo",,,,,,,,,,0.4371,,,,,,S,"  ","  ",5
,"      2006 SK134","         NEA>Apollo",,,,,,,,,,0.2223,,,,,,U,"  ","  ",5
248818,"      2006 SZ217","           NEA>Amor",,,,,,,,,,0.3426,0.8928,,,0.5502,,S,"  ","  ",5
438429,"        2006 WN1","           NEA>Amor",,,,,,,,,,0.2091,0.4276,0.0053,0.4305,0.2268,0.223,C,"pU","pC",1
481442,"        2006 WO3","           NEA>Aten",,,,,,,,,,0.4113,,,,,,S,"  ","  ",5
293054,"      2006 WP127","         NEA>Apollo",,,,,,,,,,0.3281,,,,,,C,"  ","  ",5
248926,"        2006 WZ2","           NEA>Amor",,,,,,,,,,0.2666,0.3047,0.0446,0.4202,0.085,0.2005,B,"pU","pB",1
349068,"       2006 YT13","         NEA>Apollo",,,,,,,,,,0.5379,,,,,,S,"  ","  ",5
349074,"        2007 BM8","         NEA>Apollo",,,,,,,,,,0.2369,0.4882,,,0.2513,,C,"  ","  ",5
526825,"       2007 CK26","         NEA>Apollo",,,,,,,,,,0.113,,,,,,C,"  ","  ",5
,"       2007 DL41","         NEA>Apollo",,,,,,,,,,0.4537,,,,,,S,"  ","  ",5
391451,"       2007 FE20","           NEA>Amor",,,,,,,,,,0.3261,,,,,,C,"  ","  ",5
475967,"       2007 JF22","           NEA>Amor",,,,,,,,,,0.1658,,,0.5042,,0.3384,C,"  ","  ",5
,"         2007 KD","           NEA>Amor",,,,,,,,,,0.2169,,,,,,C,"  ","  ",5
,"        2007 NL1","         NEA>Apollo",,,,,,,,,,-0.1229,,,,,,U,"  ","  ",5
523619,"       2007 RX19","         NEA>Apollo",,,,,,,,,,0.5903,,-0.4998,,,,U,"pU","pV",2
251346,"         2007 SJ","         NEA>Apollo",,,,,,,,,,0.4273,,,,,,S,"  ","  ",5
,"       2007 TG25","           NEA>Amor",,,,,,,,,,0.4541,0.5769,-0.0133,0.5636,0.1547,0.1414,U,"pU","pK",1
,"       2007 TQ24","           NEA>Aten",,,,,,,,,,-0.0721,,,,,,U,"  ","  ",5
243147,"       2007 TX18","           NEA>Amor",,,,,,,,,,0.2701,,,,,,C,"  ","  ",5
328059,"        2007 UB6","           NEA>Amor",,,,,,,,,,0.2768,0.5999,-0.0958,0.5041,0.3231,0.2273,U,"pU","pS",1
294739,"         2008 CM","         NEA>Apollo",,,,,,,,,,,,-0.162,,0.1967,0.0347,S,"pS","pQ",4
448003,"         2008 DE","         NEA>Apollo",,,,,,,,,,0.4147,0.6057,,,0.0095,,S,"  ","  ",5
386259,"        2008 EJ1","         NEA>Apollo",,,,,,,,,,0.1593,0.5115,,,0.3522,,C,"  ","  ",5
388838,"        2008 EZ5","           NEA>Amor",,,,,,,,,,0.7483,,-0.0116,,,,U,"pU","pS",2
274138,"        2008 FU6","         NEA>Apollo",,,,,,,,,,0.3024,0.5051,-0.2171,0.3475,0.2325,-0.0128,U,"pU","pV",1
516641,"      2008 GB110","           NEA>Amor",,,,,,,,,,0.4028,0.2135,,,-0.1896,,S,"  ","  ",5
498548,"      2008 GH110","         NEA>Apollo",,,,,,,,,,0.2819,,,,,,C,"  ","  ",5
,"         2008 GX","           NEA>Amor",,,,,,,,,,0.319,,,,,,C,"  ","  ",5
518640,"        2008 KZ5","         NEA>Apollo",,,,,,,,,,0.4654,0.7993,-0.007,0.7923,0.3339,0.3269,U,"pU","pL",1
496018,"         2008 NU","           NEA>Amor",,,,,,,,,,-0.0162,,,,,,U,"  ","  ",5
,"        2008 SR1","         NEA>Apollo",,,,,,,,,,0.3657,,,,,,S,"  ","  ",5
,"        2008 XE2","           NEA>Amor",,,,,,,,,,0.4012,,,,,,S,"  ","  ",5
,"       2008 YR27","         NEA>Apollo",,,,,,,,,,0.3507,,,,,,S,"  ","  ",5
418929,"        2009 DM1","           NEA>Amor",,,,,,,,,,0.5164,0.7636,0.0762,0.8398,0.2472,0.3234,L,"pL","pU",1
343098,"       2009 DV42","           NEA>Amor",,,,,,,,,,0.4424,,,,,,S,"  ","  ",5
