Number,Name,properH,DynClass,grcomplex
,"2016 LF51",,"NEA>Amor",V
66251,"1999 GJ2",,"NEA>Amor",A
,"2008 FN6",,"NEA>Amor",S
436764,"2012 FB57",,"NEA>Amor",V
,"2011 JK",,"NEA>Amor",V
490791,"2010 VE1",,"NEA>Amor",C
184266,"2004 VW14",,"NEA>Apollo",V
436764,"2012 FB57",,"NEA>Amor",V
223456,"2003 UB10",,"NEA>Amor",S
,"2014 CJ14",,"NEA>Amor",C
,"2008 FN6",,"NEA>Amor",S
,"2007 US12",,"NEA>Aten",V
223456,"2003 UB10",,"NEA>Amor",S
8201,"1994 AH2",,"NEA>Apollo",V
,"2008 OS7",,"NEA>Apollo",C
223456,"2003 UB10",,"NEA>Amor",S
445974,"2013 BJ18",,"NEA>Apollo",C
,"2004 RX109",,"NEA>Apollo",C
,"2008 GX",,"NEA>Amor",V
,"2007 TR24",,"NEA>Apollo",D
446826,"2001 PE1",,"NEA>Amor",C
,"2014 EQ12",,"NEA>Apollo",U
,"2000 VA45",,"NEA>Amor",U
164214,"2004 LZ11",,"NEA>Amor",S
,"2008 GX",,"NEA>Amor",V
,"2009 VZ39",,"NEA>Apollo",U
445974,"2013 BJ18",,"NEA>Apollo",C
,"2012 BM86",,"NEA>Apollo",U
203471,"2002 AU4",,"NEA>Aten",B
,"2006 SE6",,"NEA>Aten",B
345646,"2006 TN",,"NEA>Amor",C
,"2014 GY48",,"NEA>Apollo",D
,"2008 NU",,"NEA>Amor",C
445974,"2013 BJ18",,"NEA>Apollo",C
,"2012 SB22",,"NEA>Amor",U
451003,"2008 UD1",,"NEA>Apollo",V
528284,"2008 SW11",,"NEA>Apollo",C
345646,"2006 TN",,"NEA>Amor",C
445974,"2013 BJ18",,"NEA>Apollo",C
,"2019 VF6",,"NEA>Apollo",V
,"2008 OX8",,"NEA>Amor",C
,"2012 CP2",,"NEA>Amor",V
,"2008 TA1",,"NEA>Apollo",V
3200,"Phaethon",,"NEA>Apollo",B
,"2014 WJ70",,"NEA>Amor",U
,"2010 CM",,"NEA>Amor",U
,"2011 WP46",,"NEA>Amor",B
,"2011 AG5",,"NEA>Apollo",U
96744,"1999 OW3",,"NEA>Apollo",V
474574,"2004 FG1",,"NEA>Amor",V
,"2008 SN1",,"NEA>Amor",C
223456,"2003 UB10",,"NEA>Amor",S
,"2016 BX14",,"NEA>Apollo",U
,"2015 XB379",,"NEA>Amor",U
162416,"2000 EH26",,"NEA>Apollo",V
,"2013 AT72",,"NEA>Aten",U
96744,"1999 OW3",,"NEA>Apollo",V
,"2013 BJ18",,"NEA>Apollo",C
,"2016 PF8",,"NEA>Apollo",D
,"2014 UR116",,"NEA>Apollo",U
223456,"2003 UB10",,"NEA>Amor",S
,"2014 OD338",,"NEA>Amor",U
,"2008 FN6",,"NEA>Amor",S
420187,"2011 GA55",,"NEA>Amor",U
,"2011 UX192",,"NEA>Apollo",B
,"Pan",,"NEA>Apollo",S
489486,"2007 GS3",,"NEA>Apollo",V
163694,"2003 DP13",,"NEA>Amor",V
,"2001 XS30",,"NEA>Apollo",C
481790,"2008 TF4",,"NEA>Amor",V
54690,"2001 EB",,"NEA>Amor",S
,"2014 YS34",,"NEA>Apollo",V
339715,"2005 SS4",,"NEA>Apollo",V
192642,"1999 RD32",,"NEA>Apollo",C
106589,"2000 WN107",,"NEA>Apollo",X
162416,"2000 EH26",,"NEA>Apollo",V
,"2008 JT19",,"NEA>Amor",V
14402,"1991 DB",,"NEA>Amor",V
,"2010 WF3",,"NEA>Apollo",C
4450,"Pan",,"NEA>Apollo",S
,"2008 NU",,"NEA>Amor",C
,"2015 DE176",,"NEA>Apollo",V
285990,"2001 SK9",,"NEA>Apollo",C
516398,"2001 HW15",,"NEA>Amor",V
14402,"1991 DB",,"NEA>Amor",V
,"2019 TN",,"NEA>Apollo",U
,"2008 SX7",,"NEA>Amor",V
223456,"2003 UB10",,"NEA>Amor",S
243566,"1995 SA",,"NEA>Apollo",V
,"2005 HM3",,"NEA>Amor",U
106589,"2000 WN107",,"NEA>Apollo",X
,"2010 WF3",,"NEA>Apollo",C
14402,"1991 DB",,"NEA>Amor",V
476187,"2007 UQ13",,"NEA>Apollo",U
106589,"2000 WN107",,"NEA>Apollo",X
,"2008 AM33",,"NEA>Amor",U
223456,"2003 UB10",,"NEA>Amor",S
,"2014 YS34",,"NEA>Apollo",V
,"4788 P-L",,"NEA>Amor",V
274855,"2009 RB4",,"NEA>Amor",S
106589,"2000 WN107",,"NEA>Apollo",X
154276,"2002 SY50",,"NEA>Apollo",S
,"2004 RS25",,"NEA>Amor",X
,"2004 GY",,"NEA>Amor",D
,"2013 WN67",,"NEA>Amor",V
,"2017 YN6",,"NEA>Apollo",U
485051,"2010 CM44",,"NEA>Amor",U
274855,"2009 RB4",,"NEA>Amor",S
,"2005 AT42",,"NEA>Amor",V
145656,"4788 P-L",,"NEA>Amor",V
,"2005 AT42",,"NEA>Amor",V
171819,"2001 FZ6",,"NEA>Amor",U
,"2006 UL185",,"NEA>Aten",V
,"1999 FQ5",,"NEA>Amor",S
,"2005 UF1",,"NEA>Amor",C
154276,"2002 SY50",,"NEA>Apollo",S
,"2008 JT19",,"NEA>Amor",V
477248,"2009 SV",,"NEA>Amor",V
,"2001 JV1",,"NEA>Apollo",V
313538,"2002 YB12",,"NEA>Apollo",C
16816,"1997 UF9",,"NEA>Apollo",S
106589,"2000 WN107",,"NEA>Apollo",X
,"2005 AT42",,"NEA>Amor",V
274855,"2009 RB4",,"NEA>Amor",S
275558,"1999 RH33",,"NEA>Amor",S
416567,"2004 EB",,"NEA>Amor",U
,"1999 TF5",,"NEA>Apollo",C
528284,"2008 SW11",,"NEA>Apollo",C
,"2014 FX",,"NEA>Amor",V
,"2002 PG80",,"NEA>Amor",V
,"2001 SJ262",,"NEA>Amor",C
,"2008 AG33",,"NEA>Apollo",D
,"2004 RS25",,"NEA>Amor",X
,"2004 XJ35",,"NEA>Amor",S
275558,"1999 RH33",,"NEA>Amor",S
243566,"1995 SA",,"NEA>Apollo",V
,"1999 TF5",,"NEA>Apollo",C
,"2018 XR",,"NEA>Apollo",V
,"2007 EK88",,"NEA>Amor",V
244670,"2003 KN18",,"NEA>Apollo",S
96744,"1999 OW3",,"NEA>Apollo",V
,"2004 XJ35",,"NEA>Amor",S
,"2016 LS9",,"NEA>Amor",V
380524,"2004 GY",,"NEA>Amor",D
344143,"2000 JQ3",,"NEA>Amor",S
,"2007 EK88",,"NEA>Amor",V
,"1995 YR1",,"NEA>Apollo",V
,"2016 LS9",,"NEA>Amor",V
277475,"2005 WK4",,"NEA>Apollo",U
,"2007 EK88",,"NEA>Amor",V
244670,"2003 KN18",,"NEA>Apollo",S
418135,"2008 AG33",,"NEA>Apollo",D
,"2012 MK6",,"NEA>Amor",V
380524,"2004 GY",,"NEA>Amor",D
,"1998 FM9",,"NEA>Amor",U
,"2006 UD63",,"NEA>Amor",V
,"2001 SJ262",,"NEA>Amor",C
,"2019 AV2",,"NEA>Apollo",U
,"2016 CS29",,"NEA>Apollo",C
495168,"2012 HC34",,"NEA>Amor",V
,"2002 UK11",,"NEA>Apollo",V
274855,"2009 RB4",,"NEA>Amor",S
,"1991 TF3",,"NEA>Apollo",K
,"2007 GZ5",,"NEA>Amor",V
,"2002 UK11",,"NEA>Apollo",V
274855,"2009 RB4",,"NEA>Amor",S
170013,"2002 UO3",,"NEA>Apollo",C
,"2001 HW15",,"NEA>Amor",V
,"2007 TQ24",,"NEA>Aten",U
16816,"1997 UF9",,"NEA>Apollo",S
,"2000 FP10",,"NEA>Amor",U
,"2014 KN76",,"NEA>Apollo",S
,"2007 GZ5",,"NEA>Amor",V
255501,"2006 BG",,"NEA>Apollo",C
,"2015 TY237",,"NEA>Apollo",V
,"2012 SZ49",,"NEA>Amor",U
16816,"1997 UF9",,"NEA>Apollo",S
,"2014 KN76",,"NEA>Apollo",S
,"2008 LQ16",,"NEA>Apollo",V
503871,"2000 SL",,"NEA>Apollo",S
498068,"2007 RT146",,"NEA>Apollo",S
